Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
24.7.2017;13:01:00;Alvarleg slys;Suðurlandsvegur  -  Viðborðssel,  hjá;Útafakstur og bílveltur;Fólksbifreið;;;;;65 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;73 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;66 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;;;
23.7.2017;22:22:00;Alvarleg slys;Vegur að Hagalækur, ;Útafakstur og bílveltur;Torfæruhjól;;;;;15 ára Karl, Farþegi í aftursæti m, Torfæruhjól, Lítið slasaður;16 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;
23.7.2017;14:45:00;Alvarleg slys;Gullinbrú, Stórhöfði  -  Á eða við akbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;35 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;24 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
23.7.2017;06:00:00;Alvarleg slys;Suðurfjarðavegur,  sunnan við Sléttuá ;Útafakstur og bílveltur;Fólksbifreið;;;;;19 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
19.7.2017;15:37:00;Alvarleg slys;Borgarbraut, Sæunnargata, við  -  Á/við gatnamót;Slys á óvörðum vegfaranda;Vörubifreið II;Fólksbifreið;;;;55 ára Kona, Fótgangandi, Vörubifreið II, Alvarlega slasaður;;;;;
19.7.2017;12:55:00;Alvarleg slys;Reykjanesbraut, Aðalgata  -  Á/við gatnamót;Aftanákeyrsla;Ökutæki ekki í Ekju;Fólksbifreið;Sendibifreið;Fólksbifreið;;27 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
17.7.2017;22:56:00;Alvarleg slys;Göngustígur við Eiðisgrandi  -  Seilugrandi ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;31 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
17.7.2017;13:10:00;Alvarleg slys;Gangstétt á milli Glerárgötu 30 og 32;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;46 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
16.7.2017;13:39:00;Alvarleg slys;Víkurvegur , Borgarvegur;Fall af bifhjóli;Þungt bifhjól;;;;;27 ára Karl, Farþegi í aftursæti m, Þungt bifhjól, Lítið slasaður;35 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;
14.7.2017;21:01:00;Alvarleg slys;Djúpvegur Valshöfði  -  Á eða við akbraut;Útafakstur og bílveltur;Þungt bifhjól;;;;;49 ára Kona, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
12.7.2017;14:28:00;Alvarleg slys;Við Heiðarbraut  10;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;61 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
12.7.2017;08:16:00;Alvarleg slys;Skipholt, 35, við;Hliðarákeyrsla;Reiðhjól;Fólksbifreið;;;;55 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
10.7.2017;15:18:00;Alvarleg slys;Höfðabakki/Dvergshöfði;Hliðarákeyrsla;Fólksbifreið;Þungt bifhjól;;;;26 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
8.7.2017;19:07:00;Alvarleg slys;Biskupstungnabraut  -  Skálholtsvegur, hjá;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;Reiðhjól;Reiðhjól;Reiðhjól;16 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Lítið slasaður;44 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Lítið slasaður;47 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;36 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Lítið slasaður;27 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;25 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður
8.7.2017;18:00:00;Alvarleg slys;Jaðarstún 9-11;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;55 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
8.7.2017;16:58:00;Alvarleg slys;Vesturlandsvegur - Ártúnsbrekkan;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;24 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;29 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
7.7.2017;22:27:00;Alvarleg slys;Hlíðarfjallsvegur  -   vegslói Hlíðarfjall, með fram ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;33 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
7.7.2017;15:11:00;Alvarleg slys;Vestfjarðarvegur, Botnsdalsleggur  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;83 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;63 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;25 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;60 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;
2.7.2017;17:19:00;Alvarleg slys;Fjallabaksleið nyrðri, Glaðheimar norðan;Annað;Þungt bifhjól;;;;;51 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
28.6.2017;16:08:00;Alvarleg slys;Skeiða- og Hrunamannavegur  -  Stöðultjörn, við  ;Fall af bifhjóli;Þungt bifhjól;;;;;39 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
26.6.2017;16:14:00;Alvarleg slys;Hringvegur, Öxi, austan;Útafakstur og bílveltur;Fólksbifreið;;;;;29 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
25.6.2017;18:55:00;Alvarleg slys;Borgarfjarðarbraut, Ytri-Skeljabrekka, við  -  Á eða við akbraut;Fall af bifhjóli;Þungt bifhjól;Þungt bifhjól;;;;52 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;31 ára Kona, Farþegi í aftursæti h, Þungt bifhjól, Lítið slasaður;;;;
25.6.2017;15:28:00;Alvarleg slys;Bræðratunguvegur, Drumboddsstaðaafleggjara, við;Fall af bifhjóli;Þungt bifhjól;;;;;45 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
25.6.2017;11:30:00;Alvarleg slys;Snæfellsnesvegur  -  Við afleggjarann að Hömluholti ;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;18 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
24.6.2017;03:30:00;Alvarleg slys;Vestfjarðavegur, Vestfjarðagöng, Tungudalsafleggjari  -  Á eða við akbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;18 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
14.6.2017;15:22:00;Alvarleg slys;Vatnsnesvegur, Hvítserkur, skammt frá  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;53 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;19 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;;;;
14.6.2017;13:37:00;Alvarleg slys;Gangstétt móts við Einiberg og Staðarbergs;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;10 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
14.6.2017;12:31:00;Alvarleg slys;Suðurlandsvegur, Geitháls, á móts við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
7.6.2017;13:13:00;Alvarleg slys;Hamravík - móts við nr. 26;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;49 ára Karl, Fótgangandi, Fólksbifreið, Lítið slasaður;71 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;
5.6.2017;18:25:00;Alvarleg slys;Breiðholtsbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;45 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;4 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;;;;
5.6.2017;16:17:00;Alvarleg slys;Reykjanesbraut, Hvassahraun við;Ekið á hlut á eða við akbraut;Fólksbifreið;Fólksbifreið;;;;33 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
29.5.2017;22:29:00;Alvarleg slys;Lækjargata, Amtmannsstígur, við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;47 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
26.5.2017;20:21:00;Alvarleg slys;Vesturlandsvegur, Sveinatunga, 2. km norðan við;Útafakstur og bílveltur;Fólksbifreið;;;;;59 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
26.5.2017;10:49:00;Alvarleg slys;Reiðhjólaslóða í suðvestanverðri Öskjuhlið nokkuð ofan við HR;Slys á óvörðum vegfaranda;Reiðhjól;;;;;39 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
25.5.2017;02:31:00;Alvarleg slys;Suðurlandsvegur;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;50 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;18 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;19 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;19 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;18 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;28 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður
17.5.2017;17:08:00;Alvarleg slys;Ægisgata/Kirkjugerði;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;6 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
17.5.2017;08:05:00;Alvarleg slys;Seljabót;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;32 ára Karl, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
15.5.2017;18:20:00;Alvarleg slys;Hringvegur;Útafakstur og bílveltur;Fólksbifreið;;;;;53 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;39 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;62 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;66 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
15.5.2017;17:47:00;Alvarleg slys;Suðurlandsvegur -  Reynisfjall;Útafakstur og bílveltur;Fólksbifreið;;;;;30 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;25 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;33 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;;
14.5.2017;13:18:00;Alvarleg slys;Suðurhella;Fall af bifhjóli;Þungt bifhjól;;;;;32 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
10.5.2017;16:45:00;Alvarleg slys;Bogatangi;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;30 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
6.5.2017;12:36:00;Alvarleg slys;Fífuhvammsvegur/Salavegur - hringtorg;Fall af bifhjóli;Þungt bifhjól;;;;;66 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
6.5.2017;11:23:00;Alvarleg slys;Bauganes - móts við nr. 25;Slys á óvörðum vegfaranda;Reiðhjól;;;;;58 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
5.5.2017;16:45:00;Alvarleg slys;Víðivangur  - móts við nr. 7;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;6 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
4.5.2017;16:51:00;Alvarleg slys;Göng/hjólastígur við golfvöllinn;Slys á óvörðum vegfaranda;Reiðhjól;;;;;66 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
3.5.2017;19:13:00;Alvarleg slys;Úlfarsfell - göngustígur/akstígur;Útafakstur og bílveltur;Þungt bifhjól;;;;;41 ára Kona, Farþegi í aftursæti h, Þungt bifhjól, Alvarlega slasaður;;;;;
15.4.2017;13:56:00;Alvarleg slys;Suðurstrandavegur ;Útafakstur og bílveltur;Fólksbifreið;;;;;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;28 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
13.4.2017;09:09:00;Alvarleg slys;Týsgata  -  Óðinsgata, við ;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;63 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;66 ára Kona, Fótgangandi, Fólksbifreið, Lítið slasaður;;;;
9.4.2017;00:31:00;Alvarleg slys;Silfurtangi bifreiðastæði;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;18 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;19 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;
8.4.2017;13:15:00;Alvarleg slys;Suðurlandsvegur, Foss á Síðu, við  -  Utan vegar;Útafakstur og bílveltur;Fólksbifreið;;;;;51 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
5.4.2017;08:20:00;Alvarleg slys;Frárein af Reykjanesbraut í átt að IKEA.;Ekið á hlut á eða við akbraut;Sendibifreið;;;;;83 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;;
30.3.2017;20:02:00;Alvarleg slys;Austursíða  -  austan við hús nr. 2 ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;20 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
23.3.2017;02:59:00;Alvarleg slys;Hrunavegur  -  Grafarbakki, við ;Útafakstur og bílveltur;Fólksbifreið;;;;;24 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
20.3.2017;10:20:00;Alvarleg slys;Reykjanesbraut, Kaplakriki,við;Framanákeyrsla;Fólksbifreið;Sendibifreið;;;;17 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;26 ára Karl, Ökumaður, Sendibifreið, Lítið slasaður;;;;
14.3.2017;14:22:00;Alvarleg slys;Hringvegur, Hnappavellir þar við;Útafakstur og bílveltur;Fólksbifreið;;;;;20 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
14.3.2017;01:15:00;Alvarleg slys;Norðfjarðarvegur, Fagridalur við Biskupsháls;Útafakstur og bílveltur;Fólksbifreið;;;;;20 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;19 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
5.3.2017;20:19:00;Alvarleg slys;Reykjanesbraut, Brunnhólar;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;27 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;31 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;28 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;30 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;
1.3.2017;10:37:00;Alvarleg slys;Suðurlandsbraut 48 - bifreiðastæði;Slys á óvörðum vegfaranda;Sendibifreið;;;;;15 ára Karl, Fótgangandi, Sendibifreið, Alvarlega slasaður;;;;;
27.2.2017;07:39:00;Alvarleg slys;Hrísateigur, Kísilvegur;Útafakstur og bílveltur;Sendibifreið;;;;;29 ára Kona, Farþegi í framsæti, Sendibifreið, Alvarlega slasaður;;;;;
25.2.2017;23:27:00;Alvarleg slys;Vesturlandsvegur  -  Strætóskýlið, við;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;44 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
19.2.2017;05:11:00;Alvarleg slys;Bifreiðastæði við Hraunbæ 107;Slys á óvörðum vegfaranda;Fólksbifreið;Fólksbifreið;;;;25 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
15.2.2017;10:09:00;Alvarleg slys;Suðurlandsvegur, Rauðilækur, við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;19 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;26 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
14.2.2017;13:22:00;Alvarleg slys;Hvammstangabraut, Syðri Vellir, við  -  Á eða við akbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;78 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
11.2.2017;17:45:00;Alvarleg slys;Hraunbær, Bitruháls;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;10 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;55 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;1 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;32 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;10 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;43 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður
11.2.2017;12:44:00;Alvarleg slys;Gagnvegur;Slys á óvörðum vegfaranda;Reiðhjól;;;;;60 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
11.2.2017;12:02:00;Alvarleg slys;Suðurlandsbraut,   -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;34 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;57 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
9.2.2017;15:00:00;Alvarleg slys;Snorrabraut;Slys á óvörðum vegfaranda;Hópbifreið II;;;;;37 ára Kona, Fótgangandi, Hópbifreið II, Alvarlega slasaður;;;;;
8.2.2017;23:47:00;Alvarleg slys;Höfðabakki, ;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;26 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;60 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
8.2.2017;08:11:00;Alvarleg slys;Hringbraut/Faxabraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;29 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
4.2.2017;02:54:00;Alvarleg slys;Miklabraut,Kringlumýrarbraut á gatnamótunum  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;19 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;30 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;21 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;40 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;
31.1.2017;14:37:00;Alvarleg slys;Sæbraut, Sægarðar;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;15 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
29.1.2017;00:00:00;Alvarleg slys;Blöndudalsvegur, Blöndubrú syðri  -  Á eða við brú;Annað;Fólksbifreið;;;;;29 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
28.1.2017;13:18:00;Alvarleg slys;Suðurfjarðavegur/Búðavegur - Gatnamót  -  Á/við gatnamót;Útafakstur og bílveltur;Fólksbifreið;;;;;67 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;67 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;
26.1.2017;15:18:00;Alvarleg slys;Hringvegur, Sunnuhvoll, við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;69 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
25.1.2017;16:14:00;Alvarleg slys;Ármúli, Selmúli, við;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;77 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
25.1.2017;14:57:00;Alvarleg slys;Norðurlandsvegur, Jörfi, á móts við  -  ;Útafakstur og bílveltur;Fólksbifreið;;;;;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;29 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
24.1.2017;10:20:00;Alvarleg slys;Nauthólsvegur, Icelandair hótel, við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;23 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
19.1.2017;23:21:00;Alvarleg slys;Vesturlandsvegur, Norðurárbrúin, við;Framanákeyrsla;Fólksbifreið;Vörubifreið II;;;;80 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
18.1.2017;08:10:00;Alvarleg slys;Lyngás, við nr. 12  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;15 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
17.1.2017;16:50:00;Alvarleg slys;Breiðholtsbraut, Selásbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Sendibifreið;Fólksbifreið;Fólksbifreið;31 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;38 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;7 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;;;
16.1.2017;15:49:00;Alvarleg slys;Hringvegur, Háöldu, við;Útafakstur og bílveltur;Fólksbifreið;;;;;36 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;36 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
9.1.2017;07:06:00;Alvarleg slys;Stekkjarbakki, Aktu Taktu, hjá  -  Á/við gatnamót;Hliðarákeyrsla;Hópbifreið II;Fólksbifreið;;;;45 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
3.1.2017;17:00:00;Alvarleg slys;Nýbýlavegur, Engihjalli  -  Á/við gatnamót;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;67 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
2.1.2017;23:18:00;Alvarleg slys;Miklabraut,   -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;31 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
2.1.2017;10:39:00;Alvarleg slys;Suðurlandsvegur, Kjartansstaðir austan við;Útafakstur og bílveltur;Vörubifreið II;;;;;45 ára Karl, Ökumaður, Vörubifreið II, Alvarlega slasaður;;;;;
1.1.2017;23:17:00;Alvarleg slys;Grensásvegur, Skeifan  -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;17 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;17 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;17 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;17 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;20 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;
30.12.2016;05:06:00;Alvarleg slys;Reynidalur,   -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;26 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
29.12.2016;21:03:00;Alvarleg slys;Miklabraut, Réttarholtsvegur, austan, vesturakrein;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;27 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;17 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
21.12.2016;21:02:00;Alvarleg slys;Bústaðavegur, Suðurhlíð, vestan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;20 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
21.12.2016;15:58:00;Alvarleg slys;Dalvegur, Hlíðarhjalli;Framanákeyrsla;Sendibifreið;Fólksbifreið;;;;17 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
20.12.2016;17:50:00;Alvarleg slys;Við Göngubrú við gatnamót Hringbrautar og Njarðargötu;Slys á óvörðum vegfaranda;Reiðhjól;;;;;49 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
16.12.2016;14:42:00;Alvarleg slys;Nónvarða, við nr.7;Slys á óvörðum vegfaranda;Fólksbifreið;Fólksbifreið;;;;69 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
14.12.2016;17:46:00;Alvarleg slys;Kársnesbraut, Norðurvör  -  Á/við gatnamót;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;85 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
14.12.2016;16:12:00;Alvarleg slys;Fjarðarhraun, Hjallahraun, við  -  Gangbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;56 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
13.12.2016;17:47:00;Alvarleg slys;Dofraborgir, við nr. 19;Slys á óvörðum vegfaranda;Fólksbifreið;Fólksbifreið;;;;12 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
11.12.2016;11:00:00;Alvarleg slys;Engihlíð, Bílastæði,   -  Framan við hús;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;41 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
8.12.2016;17:34:00;Alvarleg slys;Vesturlandsvegur;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;31 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
5.12.2016;19:40:00;Alvarleg slys;Fjallkonuvegur - austan við Funafold;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;15 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
4.12.2016;00:08:00;Alvarleg slys;Reykjanesbraut, Aðalgata, sunnan við  -  Á/við gatnamót;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;19 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
