Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
21.1.2018;01:31:00;Banaslys;Arnarnesvegur, Reykjanesbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;21 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
11.1.2018;07:38:00;Banaslys;Suðurlandsvegur, Bitra  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Sendibifreið;;;;21 ára Karl, Ökumaður, Fólksbifreið, Látinn;28 ára Kona, Ökumaður, Sendibifreið, Lítið slasaður;;;;
3.1.2018;09:35:00;Banaslys;Vesturlandsvegur, Hvammur, á móts við;Framanákeyrsla;Fólksbifreið;Vörubifreið I;Fólksbifreið;Fólksbifreið;;37 ára Karl, Ökumaður, Fólksbifreið, Látinn;27 ára Karl, Ökumaður, Vörubifreið I, Alvarlega slasaður;;;;
27.12.2017;11:03:00;Banaslys;Suðurlandsvegur, Hunkubakkar, vestan við  -  Á eða við akbraut;Aftanákeyrsla;Hópbifreið II;Fólksbifreið;;;;29 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Látinn;45 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;61 ára Karl, Ökumaður, Hópbifreið II, Alvarlega slasaður;22 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;21 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Látinn;21 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður
25.11.2017;08:01:00;Banaslys;Miklabraut, vestan við Skeiðarvogsbrú til austurs;Ekið á hlut á eða við akbraut;Sendibifreið;;;;;24 ára Karl, Ökumaður, Sendibifreið, Látinn;22 ára Karl, Farþegi í framsæti, Sendibifreið, Lítið slasaður;;;;
6.11.2017;13:01:00;Banaslys;Sæbraut, Kirkjusandur  -  Gangbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;Sendibifreið;Vörubifreið II;;81 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Látinn;;;;;
3.11.2017;17:30:00;Banaslys;Árskógssandur  -  Árskógsandur, ferjubryggja;Annað;Fólksbifreið;;;;;36 ára Karl, Ökumaður, Fólksbifreið, Látinn;5 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Látinn;32 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;;;
28.8.2017;23:15:00;Banaslys;Austurbraut  -  Hús nr 1234, móts við ;Annað;Fólksbifreið;;;;;38 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Látinn;;;;;
29.6.2017;16:32:00;Banaslys;Norðurlandsvegur, Hólar Öxnadal, rétt norðan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;83 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;22 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;82 ára Kona, Ökumaður, Fólksbifreið, Látinn;;;
1.6.2017;12:17:00;Banaslys;Suðurlandsvegur;Útafakstur og bílveltur;Fólksbifreið;;;;;54 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;66 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;
